model,task,mean,sem
gemma,ambiguity,0.7925250000000001,0.000868512719925469
gemma,base_rate_neglect,0.01,0.0
gemma,conjunction_fallacy,0.5201,0.002416988173705414
gemma,context_A_then_B,0.7863000000000001,0.0008111522470954322
gemma,context_B_then_A,0.8000000000000002,3.512590202971636e-18
gemma,dynamics,0.6002900000000001,0.0014245253898380144
gemma,prob_A,0.8113,0.0006616250809542717
gemma,prob_A_given_not_B,0.3472,0.0030300728277289544
gemma,revision,0.22745,0.002518962352967553
gemma,social,0.7111900000000001,0.005522539377006314
llama3,ambiguity,0.7112249999999999,0.0012347619228025306
llama3,base_rate_neglect,0.01,0.0
llama3,conjunction_fallacy,0.19097342,0.005582017876850726
llama3,context_A_then_B,0.7485,0.0016749792701868163
llama3,context_B_then_A,0.7918000000000001,0.001689856684933849
llama3,dynamics,0.53349,0.0018075518171786643
llama3,prob_A,0.77112,0.0018191907692859089
llama3,prob_A_given_not_B,0.27884000000000003,0.0028771396094615103
llama3,revision,0.19075100000000003,0.0012659661664781302
llama3,social,0.71324,0.0030060388112376946
mistral,ambiguity,0.748475,0.0015262296275259395
mistral,base_rate_neglect,0.01,0.0
mistral,conjunction_fallacy,0.5693000000000001,0.00163222981659268
mistral,context_A_then_B,0.75015,0.0012880747791322662
mistral,context_B_then_A,0.9356999999999999,0.0007148573431258993
mistral,dynamics,0.639565,0.0020298868460591345
mistral,prob_A,0.8171399999999999,0.0014489720217864524
mistral,prob_A_given_not_B,0.15384999999999996,0.0011197907980651707
mistral,revision,0.22572499999999993,0.0033569512579681854
mistral,social,0.7645,0.006513147130440966
qwen2,ambiguity,0.771375,0.0009447888655674614
qwen2,base_rate_neglect,0.01,0.0
qwen2,conjunction_fallacy,0.053685000000000004,0.0014540254347723649
qwen2,context_A_then_B,0.7631,0.0013472955151729736
qwen2,context_B_then_A,0.8857000000000003,0.0010543346819779863
qwen2,dynamics,0.5480499999999999,0.000961671022532024
qwen2,prob_A,0.8183000000000001,0.0011341941616832612
qwen2,prob_A_given_not_B,0.3061,0.0017148558921176822
qwen2,revision,0.28279999999999994,0.001167373710810015
qwen2,social,0.634125,0.008566289035598829
